,address,bds,cost
370,"16 Copenger St #U1, Boston, MA 02120",4 bds,"$4,300/mo"
371,"15 Dana Ave #6, Hyde Park, MA 02136",2 bds,"$3,000/mo"
372,"2 Copps Hill Ter APT 3, Boston, MA 02113",2 bds,"$2,800/mo"
373,"1258 Commonwealth Ave, Boston, MA",2 bd,"$3,050+"
374,"1258 Commonwealth Ave, Boston, MA",3 bd,"$3,200+"
375,"109 Oakland St #2, Brighton, MA 02135",3 bds,"$3,000/mo"
376,"1183 Boylston St #11, Boston, MA 02215",1 bd,"$2,700/mo"
377,"2-4 Chestnut Pl #1, Brighton, MA 02135",2 bds,"$3,500/mo"
378,"1496 Commonwealth Ave APT 5, Brighton, MA 02135",3 bds,"$3,200/mo"
379,"102 Nonantum St #1, Brighton, MA 02135",2 bds,"$2,700/mo"
380,"62 Hobson St #1, Brighton, MA 02135",4 bds,"$3,995/mo"
381,"288 N Harvard St #2, Allston, MA 02134",3 bds,"$3,250/mo"
382,"168 Endicott St, Boston, MA",3 bd,"$4,500+"
383,"61-63 Philbrick St UNIT 1, Roslindale, MA 02131",2 bds,"$3,200/mo"
384,"7 Kingsdale St #2B, Dorchester Center, MA 02124",3 bds,"$3,100/mo"
385,"1173 Boylston St #33, Boston, MA 02215",1 bd,"$2,650/mo"
386,"513 Washington St UNIT 2, Boston, MA 02135",3 bds,"$2,900/mo"
387,"(undisclosed Address), Boston, MA 02115",2 bds,"$2,995/mo"
388,"1 Charles St S, Boston, MA",2 bd,"$9,500+"
389,"25 Chester St APT 3, Allston, MA 02134",4 bds,"$3,800/mo"
390,"580 Washington St #412, Boston, MA 02111",1 bd,"$4,150/mo"
391,"310 Allston St #3F, Brighton, MA 02135",1 bd,"$2,750/mo"
392,"105 Oakland St #2, Boston, MA 02135",2 bds,"$3,000/mo"
393,"33 Greenbrier St, Dorchester, MA 02124",3 bds,"$3,400/mo"
394,"(undisclosed Address), Allston, MA 02134",1 bd,"$2,200/mo"
395,"357 Hanover St, Boston, MA 02113",1 bd,"$2,800/mo"
396,"54 Donnybrook Rd #3, Brighton, MA 02135",3 bds,"$3,000/mo"
397,"23 Gordon St, Allston, MA",4 bd,"$4,000+"
398,"23 Gordon St, Allston, MA",5 bd,"$5,500+"
399,"120 M St #2H, Boston, MA 02127",5 bds,"$7,000/mo"
400,"608 Dorchester Ave #3F, Boston, MA 02127",2 bds,"$3,500/mo"
401,"9 Sewall St, Roxbury, MA 02120",6 bds,"$9,600/mo"
402,"1611 Tremont St APT 2, Roxbury Crossing, MA 02120",2 bds,"$3,600/mo"
403,"6 Ashley St APT 3, Jamaica Plain, MA 02130",3 bds,"$3,000/mo"
404,"19 Montfern Ave #2, Boston, MA 02135",2 bds,"$2,600/mo"
405,"6 Elder St FLOOR 3, Dorchester, MA 02125",3 bds,"$2,800/mo"
406,"16 Wallingford Rd #2, Brighton, MA 02135",2 bds,"$2,700/mo"
407,"65 E India Row, Boston, MA",1 bd,"$3,400+"
408,"65 E India Row, Boston, MA",2 bd,"$4,400+"
409,"1948 Washington St #5J, Boston, MA 02118",2 bds,"$5,000/mo"
410,"59 Pinckney St, Boston, MA",1 bd,"$3,300+"
411,"606 Columbus Ave APT 1R, Boston, MA 02118",3 bds,"$4,350/mo"
412,"(undisclosed Address), Boston, MA 02113",1 bd,"$2,600/mo"
413,"(undisclosed Address), Boston, MA 02135",2 bds,"$2,675/mo"
414,"819 E Broadway #2, Boston, MA 02127",3 bds,"$3,900/mo"
415,"785 Tremont St #118, Boston, MA 02118",2 bds,"$4,600/mo"
416,"34 Foster St #1, Brighton, MA 02135",4 bds,"$3,500/mo"
417,"10 Murdock St #1, Brighton, MA 02135",3 bds,"$2,900/mo"
418,"1715 Commonwealth Ave APT 3, Boston, MA 02135",4 bds,"$3,700/mo"
419,"12 Greylock Rd #4, Allston, MA 02134",4 bds,"$3,800/mo"
420,"24 Nottinghill Rd #2, Brighton, MA 02135",2 bds,"$3,400/mo"
421,"32 Leicester St #2, Brighton, MA 02135",3 bds,"$3,300/mo"
422,"195 Commonwealth Ave, Boston, MA",1 bd,"$3,150+"
423,"78 Hunnewell Ave #1, Boston, MA 02135",3 bds,"$2,900/mo"
424,"38 Saunders St #38, Allston, MA 02134",5 bds,"$6,350/mo"
425,"60 Brighton Ave, Allston, MA",1 bd,"$2,100+"
426,"1948 Commonwealth Ave #1, Brighton, MA 02135",1 bd,"$2,750/mo"
427,"14 Sutherland Rd #1, Boston, MA 02135",3 bds,"$3,500/mo"
428,"22 Bryon Rd #1, Chestnut Hill, MA 02467",2 bds,"$2,700/mo"
429,"10 Long Ave APT 1, Allston, MA 02134",3 bds,"$3,300/mo"
430,"13 Bowdoin St APT 3AB, Boston, MA 02114",2 bds,"$4,400/mo"
431,"88 Beechcroft St, Brighton, MA",2 bd,"$3,000+"
