,address,bds,cost
72,"BostonView Apartments, 130-140 Bowdoin St #1106, Boston, MA 02108",1 bd,"$3,000/mo"
73,"Peninsula Apartments | 401 Mount Vernon St, Dorchester, MA",Studio,"$2,291+"
74,"Peninsula Apartments | 401 Mount Vernon St, Dorchester, MA",1 bd,"$2,582+"
75,"Peninsula Apartments | 401 Mount Vernon St, Dorchester, MA",2 bd,"$3,399+"
76,"Harborview at the Navy Yard | 250 1st Ave, Charlestown, MA",Studio,"$3,393+"
77,"Harborview at the Navy Yard | 250 1st Ave, Charlestown, MA",1 bd,"$3,291+"
78,"Harborview at the Navy Yard | 250 1st Ave, Charlestown, MA",2 bd,"$6,995+"
79,"Radius | 530 Western Ave, Brighton, MA",Studio,"$2,667+"
80,"Radius | 530 Western Ave, Brighton, MA",1 bd,"$3,328+"
81,"Radius | 530 Western Ave, Brighton, MA",2 bd,"$4,024+"
82,"South Standard | 235 Old Colony Ave, Boston, MA",Studio,"$2,590+"
83,"South Standard | 235 Old Colony Ave, Boston, MA",1 bd,"$3,380+"
84,"South Standard | 235 Old Colony Ave, Boston, MA",2 bd,"$4,505+"
85,"South Standard | 235 Old Colony Ave, Boston, MA",3 bd,"$6,185+"
86,"Avalon Brighton | 139 Washington St, Brighton, MA",Studio,"$2,635+"
87,"Avalon Brighton | 139 Washington St, Brighton, MA",1 bd,"$3,520+"
88,"Avalon Brighton | 139 Washington St, Brighton, MA",2 bd,"$3,975+"
89,"Avalon Brighton | 139 Washington St, Brighton, MA",3 bd,"$5,515+"
90,"Washington Heights Apartments | 135 Washington St, Brighton, MA",Studio,"$2,150+"
91,"Washington Heights Apartments | 135 Washington St, Brighton, MA",1 bd,"$2,200+"
92,"Washington Heights Apartments | 135 Washington St, Brighton, MA",2 bd,"$2,850+"
93,"MBH Apartments | 1078 Boylston St, Boston, MA",1 bd,"$2,800+"
94,"The Rise at Longwood | 198 Hillside St, Boston, MA",1 bd,"$2,800+"
95,"The Rise at Longwood | 198 Hillside St, Boston, MA",2 bd,"$3,400+"
96,"Christopher Columbus Plaza | 145 Commercial St, Boston, MA",1 bd,"$3,300+"
97,"Christopher Columbus Plaza | 145 Commercial St, Boston, MA",2 bd,"$4,495+"
98,"1550 on the Charles | 1550 Soldiers Field Rd, Brighton, MA",Studio,"$2,903+"
99,"1550 on the Charles | 1550 Soldiers Field Rd, Brighton, MA",1 bd,"$2,785+"
100,"1550 on the Charles | 1550 Soldiers Field Rd, Brighton, MA",2 bd,"$3,730+"
101,"Brandywyne Village | 88 Brandywyne Dr, Boston, MA",2 bd,"$3,482+"
102,"340 Bremen St | East Boston | 340 Bremen St, Boston, MA",1 bd,"$2,800+"
103,"340 Bremen St | East Boston | 340 Bremen St, Boston, MA",2 bd,"$3,250+"
104,"The Tremont, 1482 Tremont St #305, Roxbury Crossing, MA 02120",2 bds,"$4,566/mo"
105,"Clippership Apartments on the Wharf | 63 Lewis St, Boston, MA",Studio,"$2,923+"
106,"Clippership Apartments on the Wharf | 63 Lewis St, Boston, MA",1 bd,"$3,413+"
107,"Clippership Apartments on the Wharf | 63 Lewis St, Boston, MA",2 bd,"$4,096+"
108,"12 Commonwealth | 12-14 Commonwealth Ave, Boston, MA",Studio,"$2,900+"
109,"12 Commonwealth | 12-14 Commonwealth Ave, Boston, MA",1 bd,"$4,025+"
110,"Mission Main, 43 Smith St #S024C, Roxbury Crossing, MA 02120",3 bds,"$5,400/mo"
111,"Camden Street Apartments | 150 Camden St, Boston, MA",1 bd,"$3,250+"
112,"Camden Street Apartments | 150 Camden St, Boston, MA",2 bd,"$4,800+"
113,"The Kensington | 665 Washington St, Boston, MA",Studio,"$3,350+"
114,"The Kensington | 665 Washington St, Boston, MA",1 bd,"$3,600+"
115,"The Kensington | 665 Washington St, Boston, MA",2 bd,"$4,781+"
116,"Adams Village | 725-735 Adams St, Dorchester, MA",Studio,"$1,955+"
117,"55 BRIGHTON AT PACKARD CROSSING | 55 Brighton Ave, Allston, MA",1 bd,"$3,750+"
118,"55 BRIGHTON AT PACKARD CROSSING | 55 Brighton Ave, Allston, MA",2 bd,"$4,600+"
119,"106-116 Tremont Street, 106 Tremont St #116001, Brighton, MA 02135",2 bds,"$2,895/mo"
120,"Eagle Rock Apartments and Townhomes at Brighton | 9 Bronsdon St, Brighton, MA",2 bd,"$3,255+"
121,"Eagle Rock Apartments and Townhomes at Brighton | 9 Bronsdon St, Brighton, MA",3 bd,"$3,665+"
122,"3200 Washington | 3200 Washington St, Jamaica Plain, MA",2 bd,"$3,749+"
123,"The Summit | 321 Summit Ave, Brighton, MA",2 bd,"$3,000+"
124,"Velo | 3686 Washington St, Jamaica Plain, MA",Studio,"$2,638+"
125,"Velo | 3686 Washington St, Jamaica Plain, MA",1 bd,"$2,893+"
126,"Velo | 3686 Washington St, Jamaica Plain, MA",2 bd,"$3,831+"
127,"Velo | 3686 Washington St, Jamaica Plain, MA",3 bd,"$4,876+"
128,"Continuum | 219 Western Ave, Allston, MA",Studio,"$2,844+"
129,"Continuum | 219 Western Ave, Allston, MA",1 bd,"$4,308+"
130,"Continuum | 219 Western Ave, Allston, MA",2 bd,"$4,665+"
131,"Reservoir Towers | 1925 Commonwealth Ave, Brighton, MA",1 bd,"$2,425+"
132,"1943 DOT Ave | 1943 Dorchester Ave, Boston, MA",Studio,"$2,075+"
133,"Avalon North Station | 1 Nashua St, Boston, MA",Studio,"$2,770+"
134,"Avalon North Station | 1 Nashua St, Boston, MA",1 bd,"$3,620+"
135,"Avalon North Station | 1 Nashua St, Boston, MA",2 bd,"$4,280+"
136,"The Graphic Lofts | 32 Cambridge St, Charlestown, MA",Studio,"$2,417+"
137,"The Graphic Lofts | 32 Cambridge St, Charlestown, MA",1 bd,"$3,075+"
138,"The Lofts at East Berkeley, 160 E Berkeley St APT 515, Boston, MA 02118",3 bds,"$5,400/mo"
139,"Serenity | 101 S Huntington Ave, Jamaica Plain, MA",Studio,"$2,933+"
140,"Serenity | 101 S Huntington Ave, Jamaica Plain, MA",1 bd,"$3,284+"
141,"Serenity | 101 S Huntington Ave, Jamaica Plain, MA",2 bd,"$4,841+"
142,"Serenity | 101 S Huntington Ave, Jamaica Plain, MA",3 bd,"$6,451+"
143,"365 Western Ave | 365 Western Ave, Brighton, MA",Studio,"$2,500+"
144,"365 Western Ave | 365 Western Ave, Brighton, MA",1 bd,"$3,200+"
145,"365 Western Ave | 365 Western Ave, Brighton, MA",2 bd,"$3,450+"
146,"365 Western Ave | 365 Western Ave, Brighton, MA",3 bd,"$5,000+"
