address,bds,cost,distance_neu,distance_harvard,distance_mit,distance_bu
"Portside at East Pier | 40 E Pier Dr, Boston, MA",Studio,2589,8.7 km,12.4 km,7.3 km,8.2 km
"Portside at East Pier | 40 E Pier Dr, Boston, MA",1,2752,8.7 km,12.4 km,7.3 km,8.2 km
"Portside at East Pier | 40 E Pier Dr, Boston, MA",2,4147,8.7 km,12.4 km,7.3 km,8.2 km
"The Residences on Broadway | 50 W Broadway, Boston, MA",Studio,2695,3.6 km,9.1 km,7.0 km,7.9 km
"The Residences on Broadway | 50 W Broadway, Boston, MA",1,2951,3.6 km,9.1 km,7.0 km,7.9 km
"The Residences on Broadway | 50 W Broadway, Boston, MA",2,3859,3.6 km,9.1 km,7.0 km,7.9 km
"Selkirk Place Apartments, 56-58 Selkirk Rd #56-2, Brighton, MA 02135",2,2700,5.8 km,4.3 km,6.9 km,3.6 km
"Carson Tower | 1410 Columbia Rd, Boston, MA",1,3000,3.9 km,12.9 km,10.8 km,11.7 km
"Carson Tower | 1410 Columbia Rd, Boston, MA",2,3200,3.9 km,12.9 km,10.8 km,11.7 km
"Carson Tower | 1410 Columbia Rd, Boston, MA",3,4400,3.9 km,12.9 km,10.8 km,11.7 km
"Church Park | 221 Massachusetts Ave, Boston, MA",Studio,3905,0.4 km,6.1 km,3.0 km,1.5 km
"Church Park | 221 Massachusetts Ave, Boston, MA",1,4030,0.4 km,6.1 km,3.0 km,1.5 km
"Church Park | 221 Massachusetts Ave, Boston, MA",2,5825,0.4 km,6.1 km,3.0 km,1.5 km
"252 Independence | 252 Independence Dr, Chestnut Hill, MA",1,3100,8.0 km,11.4 km,11.1 km,8.6 km
"252 Independence | 252 Independence Dr, Chestnut Hill, MA",2,3600,8.0 km,11.4 km,11.1 km,8.6 km
"36-44 Quint Ave, 36 Quint Ave APT 3, Allston, MA 02134",1,2495,5.8 km,2.2 km,5.0 km,1.5 km
"Ink Block | 300 Harrison Ave, Boston, MA",Studio,2883,3.5 km,9.1 km,7.0 km,7.8 km
"Ink Block | 300 Harrison Ave, Boston, MA",1,4038,3.5 km,9.1 km,7.0 km,7.8 km
"Ink Block | 300 Harrison Ave, Boston, MA",2,5135,3.5 km,9.1 km,7.0 km,7.8 km
"Ink Block | 300 Harrison Ave, Boston, MA",3,7073,3.5 km,9.1 km,7.0 km,7.8 km
"Garrison Square | 7 Harcourt St, Boston, MA",1,3624,1.7 km,7.0 km,3.0 km,2.0 km
