address,bds,cost,distance_neu,distance_harvard,distance_mit,distance_bu
"Emerson Place | 1 Emerson Pl, Boston, MA",1,2975,4.5 km,8.3 km,2.9 km,4.0 km
"Emerson Place | 1 Emerson Pl, Boston, MA",2,4315,4.5 km,8.3 km,2.9 km,4.0 km
"381 Congress Lofts | 381 Congress St, Boston, MA",Studio,3049,4.7 km,10.1 km,7.6 km,8.4 km
"381 Congress Lofts | 381 Congress St, Boston, MA",1,3399,4.7 km,10.1 km,7.6 km,8.4 km
"Royce Rd, 11 Royce Rd APT 4, Boston, MA 02134",Studio,1950,4.1 km,2.5 km,4.7 km,1.4 km
"740 E 7th St, 740 E 7th St APT 18, Boston, MA 02127",1,2450,5.3 km,11.5 km,12.2 km,13.0 km
"Flats on D | 411 D St, Boston, MA",Studio,2709,5.9 km,9.7 km,8.1 km,8.9 km
"Flats on D | 411 D St, Boston, MA",1,2976,5.9 km,9.7 km,8.1 km,8.9 km
"Flats on D | 411 D St, Boston, MA",2,3861,5.9 km,9.7 km,8.1 km,8.9 km
"VELKOR 245 NOMINEE TRUST, 245 Sumner St #104, Boston, MA 02128",2,3475,8.4 km,12.1 km,7.0 km,7.9 km
"Watermark Seaport | 85 Seaport Blvd, Boston, MA",Studio,2649,4.9 km,10.3 km,7.7 km,8.5 km
"Watermark Seaport | 85 Seaport Blvd, Boston, MA",1,3321,4.9 km,10.3 km,7.7 km,8.5 km
"Watermark Seaport | 85 Seaport Blvd, Boston, MA",2,4728,4.9 km,10.3 km,7.7 km,8.5 km
"Thread | 1580 River St, Hyde Park, MA",1,2550,14.9 km,16.4 km,16.7 km,14.3 km
"Thread | 1580 River St, Hyde Park, MA",2,3050,14.9 km,16.4 km,16.7 km,14.3 km
"The West End Apartments | 4 Emerson Pl, Boston, MA",Studio,2900,4.5 km,8.2 km,2.8 km,4.0 km
"The West End Apartments | 4 Emerson Pl, Boston, MA",1,3215,4.5 km,8.2 km,2.8 km,4.0 km
"The West End Apartments | 4 Emerson Pl, Boston, MA",2,4825,4.5 km,8.2 km,2.8 km,4.0 km
"Avenir | 101 Canal St, Boston, MA",Studio,2840,6.3 km,10.5 km,3.4 km,4.6 km
"Avenir | 101 Canal St, Boston, MA",1,3875,6.3 km,10.5 km,3.4 km,4.6 km
"Avenir | 101 Canal St, Boston, MA",2,4130,6.3 km,10.5 km,3.4 km,4.6 km
"38 Hemenway | 38 Hemenway St, Boston, MA",Studio,2350,1.2 km,5.8 km,2.6 km,1.2 km
"38 Hemenway | 38 Hemenway St, Boston, MA",1,2600,1.2 km,5.8 km,2.6 km,1.2 km
"38 Hemenway | 38 Hemenway St, Boston, MA",2,3400,1.2 km,5.8 km,2.6 km,1.2 km
"38 Hemenway | 38 Hemenway St, Boston, MA",3,4800,1.2 km,5.8 km,2.6 km,1.2 km
"455 E 1st St, 455 E 1st St #402, Boston, MA 02127",1,4000,4.3 km,10.7 km,8.4 km,9.2 km
"4, 8, 12 Elko Street, 4 Elko St #810, Brighton, MA 02135",3,3200,6.8 km,3.0 km,6.1 km,2.9 km
