address,bds,cost,distance_neu,distance_harvard,distance_mit,distance_bu,lat,lng
"Camelot Court | 10 Camelot Ct, Brighton, MA",2,3256,6.3 km,2.5 km,5.5 km,2.2 km,42.3501539,-71.14127429999999
"Camelot Court | 10 Camelot Ct, Brighton, MA",3,4058,6.3 km,2.5 km,5.5 km,2.2 km,42.3501539,-71.14127429999999
"HEW at 1515 Comm Ave | 1525 Commonwealth Ave, Brighton, MA",Studio,2960,7.4 km,3.1 km,6.7 km,3.4 km,42.3464355,-71.1419296
"HEW at 1515 Comm Ave | 1525 Commonwealth Ave, Brighton, MA",1,3300,7.4 km,3.1 km,6.7 km,3.4 km,42.3464355,-71.1419296
"HEW at 1515 Comm Ave | 1525 Commonwealth Ave, Brighton, MA",2,4300,7.4 km,3.1 km,6.7 km,3.4 km,42.3464355,-71.1419296
"Piano Craft Guild | 791 Tremont St, Boston, MA",1,3300,0.6 km,6.8 km,3.3 km,2.3 km,42.3388303,-71.08179729999999
"Piano Craft Guild | 791 Tremont St, Boston, MA",2,4200,0.6 km,6.8 km,3.3 km,2.3 km,42.3388303,-71.08179729999999
"Atrium On Commonwealth, 1079 Commonwealth Ave APT 532, Boston, MA 02215",3,4700,4.0 km,2.6 km,3.9 km,0.6 km,42.3524063,-71.1244356
"Fenway Triangle | 180 Brookline Ave, Boston, MA",Studio,3790,1.6 km,3.2 km,3.6 km,1.1 km,42.34415,-71.10149419999999
"Fenway Triangle | 180 Brookline Ave, Boston, MA",1,3884,1.6 km,3.2 km,3.6 km,1.1 km,42.34415,-71.10149419999999
"Fenway Triangle | 180 Brookline Ave, Boston, MA",2,5024,1.6 km,3.2 km,3.6 km,1.1 km,42.34415,-71.10149419999999
"West Square Apartments | 320 D St, Boston, MA",1,3300,4.1 km,9.7 km,7.6 km,8.4 km,42.340929,-71.04969299999999
"West Square Apartments | 320 D St, Boston, MA",2,4225,4.1 km,9.7 km,7.6 km,8.4 km,42.340929,-71.04969299999999
"Commonwealth Apartments | 1144 Commonwealth Ave, Allston, MA",Studio,2150,4.2 km,3.1 km,4.1 km,0.8 km,42.3502733,-71.12709149999999
"Commonwealth Apartments | 1144 Commonwealth Ave, Allston, MA",1,2250,4.2 km,3.1 km,4.1 km,0.8 km,42.3502733,-71.12709149999999
"Bremen 282 | 282 Bremen St, Boston, MA",Studio,2500,8.1 km,11.9 km,6.8 km,7.6 km,42.3758023,-71.0312515
"Bremen 282 | 282 Bremen St, Boston, MA",1,2800,8.1 km,11.9 km,6.8 km,7.6 km,42.3758023,-71.0312515
"Kilsyth Court Apartments | 71-75 Kilsyth Rd, Brighton, MA",Studio,2595,5.0 km,4.1 km,6.3 km,3.0 km,42.3399924,-71.14456179999999
"The Bon | 1260 Boylston St, Boston, MA",Studio,3000,0.9 km,5.8 km,2.6 km,1.1 km,42.34475459999999,-71.09589319999999
"The Bon | 1260 Boylston St, Boston, MA",1,4000,0.9 km,5.8 km,2.6 km,1.1 km,42.34475459999999,-71.09589319999999
"The Bon | 1260 Boylston St, Boston, MA",2,5530,0.9 km,5.8 km,2.6 km,1.1 km,42.34475459999999,-71.09589319999999
"Kilsyth Hall Apartments | 100 Kilsyth Rd, Boston, MA",Studio,2095,5.1 km,4.0 km,6.5 km,3.2 km,42.3402282,-71.1460962
"Kilsyth Hall Apartments | 100 Kilsyth Rd, Boston, MA",1,2560,5.1 km,4.0 km,6.5 km,3.2 km,42.3402282,-71.1460962
"62 on the Park | 62 Boylston St, Boston, MA",Studio,2500,2.8 km,7.6 km,4.2 km,3.5 km,42.3521048,-71.0643551
"62 on the Park | 62 Boylston St, Boston, MA",1,3100,2.8 km,7.6 km,4.2 km,3.5 km,42.3521048,-71.0643551
"Rockingham Glen | 30 Rockingham Ave, West Roxbury, MA",1,2165,12.8 km,14.2 km,14.6 km,12.1 km,42.2647149,-71.1564375
"Rockingham Glen | 30 Rockingham Ave, West Roxbury, MA",2,2925,12.8 km,14.2 km,14.6 km,12.1 km,42.2647149,-71.1564375
"Oak Row Apartments | 1235 Vfw Pkwy, West Roxbury, MA",2,3328,12.6 km,28.7 km,14.4 km,12.0 km,42.2780388,-71.17223129999999
"Harbor Point | 24 Oyster Bay Rd, Dorchester, MA",1,2595,6.3 km,13.8 km,11.7 km,12.6 km,42.3195892,-71.0398253
"Harbor Point | 24 Oyster Bay Rd, Dorchester, MA",2,3295,6.3 km,13.8 km,11.7 km,12.6 km,42.3195892,-71.0398253
"Harbor Point | 24 Oyster Bay Rd, Dorchester, MA",3,4475,6.3 km,13.8 km,11.7 km,12.6 km,42.3195892,-71.0398253
"280 Western | 280 Western Ave, Allston, MA",Studio,2800,7.1 km,0.6 km,4.9 km,5.6 km,42.3630605,-71.134299
"280 Western | 280 Western Ave, Allston, MA",1,3300,7.1 km,0.6 km,4.9 km,5.6 km,42.3630605,-71.134299
"280 Western | 280 Western Ave, Allston, MA",2,3999,7.1 km,0.6 km,4.9 km,5.6 km,42.3630605,-71.134299
"BostonView Apartments, 130-140 Bowdoin St #1106, Boston, MA 02108",1,3000,4.7 km,8.4 km,3.0 km,4.1 km,42.3586491,-71.06272779999999
"Peninsula Apartments | 401 Mount Vernon St, Dorchester, MA",Studio,2291,5.5 km,13.0 km,10.9 km,11.7 km,42.3170505,-71.041018
"Peninsula Apartments | 401 Mount Vernon St, Dorchester, MA",1,2582,5.5 km,13.0 km,10.9 km,11.7 km,42.3170505,-71.041018
"Peninsula Apartments | 401 Mount Vernon St, Dorchester, MA",2,3399,5.5 km,13.0 km,10.9 km,11.7 km,42.3170505,-71.041018
"Harborview at the Navy Yard | 250 1st Ave, Charlestown, MA",Studio,3393,7.6 km,11.4 km,6.3 km,7.1 km,42.3773405,-71.0503354
"Harborview at the Navy Yard | 250 1st Ave, Charlestown, MA",1,3291,7.6 km,11.4 km,6.3 km,7.1 km,42.3773405,-71.0503354
"Harborview at the Navy Yard | 250 1st Ave, Charlestown, MA",2,6995,7.6 km,11.4 km,6.3 km,7.1 km,42.3773405,-71.0503354
"Radius | 530 Western Ave, Brighton, MA",Studio,2667,7.8 km,1.6 km,7.9 km,6.3 km,42.3614938,-71.1448284
"Radius | 530 Western Ave, Brighton, MA",1,3328,7.8 km,1.6 km,7.9 km,6.3 km,42.3614938,-71.1448284
"Radius | 530 Western Ave, Brighton, MA",2,4024,7.8 km,1.6 km,7.9 km,6.3 km,42.3614938,-71.1448284
"South Standard | 235 Old Colony Ave, Boston, MA",Studio,2590,3.3 km,10.3 km,8.2 km,9.0 km,42.3322032,-71.0544202
"South Standard | 235 Old Colony Ave, Boston, MA",1,3380,3.3 km,10.3 km,8.2 km,9.0 km,42.3322032,-71.0544202
"South Standard | 235 Old Colony Ave, Boston, MA",2,4505,3.3 km,10.3 km,8.2 km,9.0 km,42.3322032,-71.0544202
"South Standard | 235 Old Colony Ave, Boston, MA",3,6185,3.3 km,10.3 km,8.2 km,9.0 km,42.3322032,-71.0544202
"Avalon Brighton | 139 Washington St, Brighton, MA",Studio,2635,5.2 km,3.7 km,6.7 km,2.9 km,42.346069,-71.145748
"Avalon Brighton | 139 Washington St, Brighton, MA",1,3520,5.2 km,3.7 km,6.7 km,2.9 km,42.346069,-71.145748
"Avalon Brighton | 139 Washington St, Brighton, MA",2,3975,5.2 km,3.7 km,6.7 km,2.9 km,42.346069,-71.145748
"Avalon Brighton | 139 Washington St, Brighton, MA",3,5515,5.2 km,3.7 km,6.7 km,2.9 km,42.346069,-71.145748
"Washington Heights Apartments | 135 Washington St, Brighton, MA",Studio,2150,5.1 km,3.7 km,6.7 km,2.8 km,42.345173,-71.1449437
"Washington Heights Apartments | 135 Washington St, Brighton, MA",1,2200,5.1 km,3.7 km,6.7 km,2.8 km,42.345173,-71.1449437
"Washington Heights Apartments | 135 Washington St, Brighton, MA",2,2850,5.1 km,3.7 km,6.7 km,2.8 km,42.345173,-71.1449437
"MBH Apartments | 1078 Boylston St, Boston, MA",1,2800,1.0 km,5.7 km,2.2 km,1.1 km,42.346938,-71.088022
"The Rise at Longwood | 198 Hillside St, Boston, MA",1,2800,1.7 km,4.8 km,5.2 km,2.7 km,42.3319127,-71.10915279999999
"The Rise at Longwood | 198 Hillside St, Boston, MA",2,3400,1.7 km,4.8 km,5.2 km,2.7 km,42.3319127,-71.10915279999999
"Christopher Columbus Plaza | 145 Commercial St, Boston, MA",1,3300,5.5 km,9.7 km,3.9 km,5.9 km,42.36259,-71.0518804
"Christopher Columbus Plaza | 145 Commercial St, Boston, MA",2,4495,5.5 km,9.7 km,3.9 km,5.9 km,42.36259,-71.0518804
"1550 on the Charles | 1550 Soldiers Field Rd, Brighton, MA",Studio,2903,8.3 km,2.4 km,8.4 km,6.8 km,42.3596356,-71.1492308
"1550 on the Charles | 1550 Soldiers Field Rd, Brighton, MA",1,2785,8.3 km,2.4 km,8.4 km,6.8 km,42.3596356,-71.1492308
"1550 on the Charles | 1550 Soldiers Field Rd, Brighton, MA",2,3730,8.3 km,2.4 km,8.4 km,6.8 km,42.3596356,-71.1492308
"Brandywyne Village | 88 Brandywyne Dr, Boston, MA",2,3482,10.7 km,15.7 km,9.3 km,10.2 km,42.3870849,-71.01250449999999
"340 Bremen St | East Boston | 340 Bremen St, Boston, MA",1,2800,8.3 km,12.1 km,7.0 km,7.8 km,42.3772615,-71.0292983
"340 Bremen St | East Boston | 340 Bremen St, Boston, MA",2,3250,8.3 km,12.1 km,7.0 km,7.8 km,42.3772615,-71.0292983
"The Tremont, 1482 Tremont St #305, Roxbury Crossing, MA 02120",2,4566,1.0 km,7.4 km,4.3 km,2.7 km,42.3317864,-71.0986796
"Clippership Apartments on the Wharf | 63 Lewis St, Boston, MA",Studio,2923,8.2 km,12.0 km,6.9 km,7.7 km,42.3679826,-71.0415352
"Clippership Apartments on the Wharf | 63 Lewis St, Boston, MA",1,3413,8.2 km,12.0 km,6.9 km,7.7 km,42.3679826,-71.0415352
"Clippership Apartments on the Wharf | 63 Lewis St, Boston, MA",2,4096,8.2 km,12.0 km,6.9 km,7.7 km,42.3679826,-71.0415352
"12 Commonwealth | 12-14 Commonwealth Ave, Boston, MA",Studio,2900,2.6 km,7.1 km,3.5 km,2.5 km,42.3531,-71.07209999999999
"12 Commonwealth | 12-14 Commonwealth Ave, Boston, MA",1,4025,2.6 km,7.1 km,3.5 km,2.5 km,42.3531,-71.07209999999999
"Mission Main, 43 Smith St #S024C, Roxbury Crossing, MA 02120",3,5400,1.0 km,7.4 km,4.2 km,2.4 km,42.3339717,-71.0987923
"Camden Street Apartments | 150 Camden St, Boston, MA",1,3250,0.1 km,6.7 km,3.2 km,2.2 km,42.33881969999999,-71.08304749999999
"Camden Street Apartments | 150 Camden St, Boston, MA",2,4800,0.1 km,6.7 km,3.2 km,2.2 km,42.33881969999999,-71.08304749999999
"The Kensington | 665 Washington St, Boston, MA",Studio,3350,4.5 km,8.7 km,6.1 km,6.9 km,42.351839,-71.063243
"The Kensington | 665 Washington St, Boston, MA",1,3600,4.5 km,8.7 km,6.1 km,6.9 km,42.351839,-71.063243
"The Kensington | 665 Washington St, Boston, MA",2,4781,4.5 km,8.7 km,6.1 km,6.9 km,42.351839,-71.063243
"Adams Village | 725-735 Adams St, Dorchester, MA",Studio,1955,9.6 km,17.1 km,15.0 km,15.9 km,42.2845004,-71.0558569
"55 BRIGHTON AT PACKARD CROSSING | 55 Brighton Ave, Allston, MA",1,3750,5.8 km,2.1 km,5.0 km,0.9 km,42.3528162,-71.1275374
"55 BRIGHTON AT PACKARD CROSSING | 55 Brighton Ave, Allston, MA",2,4600,5.8 km,2.1 km,5.0 km,0.9 km,42.3528162,-71.1275374
"106-116 Tremont Street, 106 Tremont St #116001, Brighton, MA 02135",2,2895,12.0 km,4.9 km,9.7 km,4.9 km,42.350748,-71.1730931
"Eagle Rock Apartments and Townhomes at Brighton | 9 Bronsdon St, Brighton, MA",2,3255,6.4 km,2.1 km,5.6 km,3.2 km,42.35942259999999,-71.1435474
"Eagle Rock Apartments and Townhomes at Brighton | 9 Bronsdon St, Brighton, MA",3,3665,6.4 km,2.1 km,5.6 km,3.2 km,42.35942259999999,-71.1435474
"3200 Washington | 3200 Washington St, Jamaica Plain, MA",2,3749,3.0 km,9.8 km,8.0 km,5.5 km,42.3126459,-71.1009545
"The Summit | 321 Summit Ave, Brighton, MA",2,3000,5.1 km,3.1 km,5.7 km,2.4 km,42.3455445,-71.1401195
"Velo | 3686 Washington St, Jamaica Plain, MA",Studio,2638,4.7 km,8.8 km,9.2 km,6.7 km,42.3005051,-71.1120983
"Velo | 3686 Washington St, Jamaica Plain, MA",1,2893,4.7 km,8.8 km,9.2 km,6.7 km,42.3005051,-71.1120983
"Velo | 3686 Washington St, Jamaica Plain, MA",2,3831,4.7 km,8.8 km,9.2 km,6.7 km,42.3005051,-71.1120983
"Velo | 3686 Washington St, Jamaica Plain, MA",3,4876,4.7 km,8.8 km,9.2 km,6.7 km,42.3005051,-71.1120983
"Continuum | 219 Western Ave, Allston, MA",Studio,2844,5.9 km,0.3 km,4.5 km,4.4 km,42.3633122,-71.1307412
"Continuum | 219 Western Ave, Allston, MA",1,4308,5.9 km,0.3 km,4.5 km,4.4 km,42.3633122,-71.1307412
"Continuum | 219 Western Ave, Allston, MA",2,4665,5.9 km,0.3 km,4.5 km,4.4 km,42.3633122,-71.1307412
"Reservoir Towers | 1925 Commonwealth Ave, Brighton, MA",1,2425,6.1 km,4.3 km,7.3 km,3.9 km,42.3389554,-71.154757
"1943 DOT Ave | 1943 Dorchester Ave, Boston, MA",Studio,2075,10.6 km,18.1 km,16.0 km,16.8 km,42.2844384,-71.0653569
"Avalon North Station | 1 Nashua St, Boston, MA",Studio,2770,4.6 km,8.4 km,3.3 km,4.1 km,42.365947,-71.063473
"Avalon North Station | 1 Nashua St, Boston, MA",1,3620,4.6 km,8.4 km,3.3 km,4.1 km,42.365947,-71.063473
"Avalon North Station | 1 Nashua St, Boston, MA",2,4280,4.6 km,8.4 km,3.3 km,4.1 km,42.365947,-71.063473
"The Graphic Lofts | 32 Cambridge St, Charlestown, MA",Studio,2417,7.9 km,3.7 km,4.6 km,7.4 km,42.3831911,-71.0737481
"The Graphic Lofts | 32 Cambridge St, Charlestown, MA",1,3075,7.9 km,3.7 km,4.6 km,7.4 km,42.3831911,-71.0737481
"The Lofts at East Berkeley, 160 E Berkeley St APT 515, Boston, MA 02118",3,5400,2.5 km,7.8 km,4.4 km,3.4 km,42.3437805,-71.0646514
"Serenity | 101 S Huntington Ave, Jamaica Plain, MA",Studio,2933,2.1 km,4.7 km,5.1 km,2.6 km,42.3294169,-71.1115243
"Serenity | 101 S Huntington Ave, Jamaica Plain, MA",1,3284,2.1 km,4.7 km,5.1 km,2.6 km,42.3294169,-71.1115243
"Serenity | 101 S Huntington Ave, Jamaica Plain, MA",2,4841,2.1 km,4.7 km,5.1 km,2.6 km,42.3294169,-71.1115243
"Serenity | 101 S Huntington Ave, Jamaica Plain, MA",3,6451,2.1 km,4.7 km,5.1 km,2.6 km,42.3294169,-71.1115243
"365 Western Ave | 365 Western Ave, Brighton, MA",Studio,2500,7.2 km,1.0 km,7.3 km,5.7 km,42.3631472,-71.1378921
"365 Western Ave | 365 Western Ave, Brighton, MA",1,3200,7.2 km,1.0 km,7.3 km,5.7 km,42.3631472,-71.1378921
"365 Western Ave | 365 Western Ave, Brighton, MA",2,3450,7.2 km,1.0 km,7.3 km,5.7 km,42.3631472,-71.1378921
"365 Western Ave | 365 Western Ave, Brighton, MA",3,5000,7.2 km,1.0 km,7.3 km,5.7 km,42.3631472,-71.1378921
"Addison | 144 Addison St, Boston, MA",Studio,2481,11.4 km,16.5 km,10.1 km,10.9 km,42.3861132,-71.0149303
"Addison | 144 Addison St, Boston, MA",1,2497,11.4 km,16.5 km,10.1 km,10.9 km,42.3861132,-71.0149303
"Addison | 144 Addison St, Boston, MA",2,2945,11.4 km,16.5 km,10.1 km,10.9 km,42.3861132,-71.0149303
"The Harvey | 50 Hood Park Dr, Boston, MA",Studio,2902,7.5 km,4.9 km,4.1 km,7.0 km,42.3810812,-71.0724671
"The Harvey | 50 Hood Park Dr, Boston, MA",1,3112,7.5 km,4.9 km,4.1 km,7.0 km,42.3810812,-71.0724671
"The Harvey | 50 Hood Park Dr, Boston, MA",2,5243,7.5 km,4.9 km,4.1 km,7.0 km,42.3810812,-71.0724671
"Malvern Place Apartments, 40 Malvern St #502, Allston, MA 02134",2,4150,6.1 km,2.4 km,5.3 km,1.0 km,42.3540232,-71.1250307
"Alder at Allston Yards | 301 Guest St, Brighton, MA",Studio,3275,8.1 km,1.9 km,5.7 km,2.2 km,42.3558886,-71.1401106
"Alder at Allston Yards | 301 Guest St, Brighton, MA",1,3540,8.1 km,1.9 km,5.7 km,2.2 km,42.3558886,-71.1401106
"Alder at Allston Yards | 301 Guest St, Brighton, MA",2,4950,8.1 km,1.9 km,5.7 km,2.2 km,42.3558886,-71.1401106
"Alder at Allston Yards | 301 Guest St, Brighton, MA",3,5999,8.1 km,1.9 km,5.7 km,2.2 km,42.3558886,-71.1401106
"Woodstock Ave | 63 Woodstock Ave, Brighton, MA",Studio,1950,4.3 km,3.1 km,5.2 km,1.9 km,42.3463751,-71.1368212
"The Monroe | 105 Washington St, Brighton, MA",2,4300,5.1 km,3.7 km,6.7 km,2.8 km,42.3450458,-71.1445476
"One Greenway | 99 Kneeland St, Boston, MA",1,3397,3.8 km,7.9 km,6.0 km,6.8 km,42.3500211,-71.0600154
"One Greenway | 99 Kneeland St, Boston, MA",2,4306,3.8 km,7.9 km,6.0 km,6.8 km,42.3500211,-71.0600154
"100 Jersey St. | 50 Peterborough St, Boston, MA",1,3200,0.9 km,6.0 km,2.9 km,1.5 km,42.3435159,-71.09709389999999
"100 Jersey St. | 50 Peterborough St, Boston, MA",2,4200,0.9 km,6.0 km,2.9 km,1.5 km,42.3435159,-71.09709389999999
"Avalon at Prudential Center | 770 Boylston St, Boston, MA",Studio,3240,2.1 km,7.0 km,3.4 km,2.3 km,42.34814160000001,-71.0796293
"Avalon at Prudential Center | 770 Boylston St, Boston, MA",1,3620,2.1 km,7.0 km,3.4 km,2.3 km,42.34814160000001,-71.0796293
"Avalon at Prudential Center | 770 Boylston St, Boston, MA",2,5885,2.1 km,7.0 km,3.4 km,2.3 km,42.34814160000001,-71.0796293
"Avalon at Prudential Center | 770 Boylston St, Boston, MA",3,9493,2.1 km,7.0 km,3.4 km,2.3 km,42.34814160000001,-71.0796293
"Portside at East Pier | 40 E Pier Dr, Boston, MA",Studio,2589,8.7 km,12.4 km,7.3 km,8.2 km,42.36604519999999,-71.0401522
"Portside at East Pier | 40 E Pier Dr, Boston, MA",1,2752,8.7 km,12.4 km,7.3 km,8.2 km,42.36604519999999,-71.0401522
"Portside at East Pier | 40 E Pier Dr, Boston, MA",2,4147,8.7 km,12.4 km,7.3 km,8.2 km,42.36604519999999,-71.0401522
"The Residences on Broadway | 50 W Broadway, Boston, MA",Studio,2695,3.6 km,9.1 km,7.0 km,7.9 km,42.34221609999999,-71.0558843
"The Residences on Broadway | 50 W Broadway, Boston, MA",1,2951,3.6 km,9.1 km,7.0 km,7.9 km,42.34221609999999,-71.0558843
"The Residences on Broadway | 50 W Broadway, Boston, MA",2,3859,3.6 km,9.1 km,7.0 km,7.9 km,42.34221609999999,-71.0558843
"Selkirk Place Apartments, 56-58 Selkirk Rd #56-2, Brighton, MA 02135",2,2700,5.8 km,4.3 km,6.9 km,3.6 km,42.339292,-71.14970799999999
"Carson Tower | 1410 Columbia Rd, Boston, MA",1,3000,3.9 km,12.9 km,10.8 km,11.7 km,42.33095429999999,-71.0437874
"Carson Tower | 1410 Columbia Rd, Boston, MA",2,3200,3.9 km,12.9 km,10.8 km,11.7 km,42.33095429999999,-71.0437874
"Carson Tower | 1410 Columbia Rd, Boston, MA",3,4400,3.9 km,12.9 km,10.8 km,11.7 km,42.33095429999999,-71.0437874
"Church Park | 221 Massachusetts Ave, Boston, MA",Studio,3905,0.4 km,6.1 km,3.0 km,1.5 km,42.3443641,-71.08660069999999
"Church Park | 221 Massachusetts Ave, Boston, MA",1,4030,0.4 km,6.1 km,3.0 km,1.5 km,42.3443641,-71.08660069999999
"Church Park | 221 Massachusetts Ave, Boston, MA",2,5825,0.4 km,6.1 km,3.0 km,1.5 km,42.3443641,-71.08660069999999
"252 Independence | 252 Independence Dr, Chestnut Hill, MA",1,3100,8.0 km,11.4 km,11.1 km,8.6 km,42.296997,-71.15644069999999
"252 Independence | 252 Independence Dr, Chestnut Hill, MA",2,3600,8.0 km,11.4 km,11.1 km,8.6 km,42.296997,-71.15644069999999
"36-44 Quint Ave, 36 Quint Ave APT 3, Allston, MA 02134",1,2495,5.8 km,2.2 km,5.0 km,1.5 km,42.3519277,-71.13383019999999
"Ink Block | 300 Harrison Ave, Boston, MA",Studio,2883,3.5 km,9.1 km,7.0 km,7.8 km,42.3460784,-71.0629343
"Ink Block | 300 Harrison Ave, Boston, MA",1,4038,3.5 km,9.1 km,7.0 km,7.8 km,42.3460784,-71.0629343
"Ink Block | 300 Harrison Ave, Boston, MA",2,5135,3.5 km,9.1 km,7.0 km,7.8 km,42.3460784,-71.0629343
"Ink Block | 300 Harrison Ave, Boston, MA",3,7073,3.5 km,9.1 km,7.0 km,7.8 km,42.3460784,-71.0629343
"Garrison Square | 7 Harcourt St, Boston, MA",1,3624,1.7 km,7.0 km,3.0 km,2.0 km,42.34603,-71.07867759999999
"Garrison Square | 7 Harcourt St, Boston, MA",2,4875,1.7 km,7.0 km,3.0 km,2.0 km,42.34603,-71.07867759999999
"1200 Commonwealth Ave | 1200 Commonwealth Ave, Allston, MA",2,2895,11.4 km,5.4 km,11.7 km,4.9 km,42.340154,-71.1656705
"Devonshire | 1 Devonshire Pl, Boston, MA",1,3470,5.1 km,9.2 km,3.4 km,4.5 km,42.3582103,-71.0574989
"Devonshire | 1 Devonshire Pl, Boston, MA",2,4161,5.1 km,9.2 km,3.4 km,4.5 km,42.3582103,-71.0574989
"Boston East | 126 Border St, East Boston, MA",Studio,2664,7.8 km,11.6 km,6.5 km,7.3 km,42.3735394,-71.04100989999999
"Boston East | 126 Border St, East Boston, MA",1,2613,7.8 km,11.6 km,6.5 km,7.3 km,42.3735394,-71.04100989999999
"Boston East | 126 Border St, East Boston, MA",2,3358,7.8 km,11.6 km,6.5 km,7.3 km,42.3735394,-71.04100989999999
"Commonwealth Gardens | 1131 Commonwealth Ave, Allston, MA",3,3350,4.8 km,2.3 km,4.6 km,1.3 km,42.35126109999999,-71.12650289999999
"225 Centre | 225 Centre St, Roxbury, MA",1,2700,1.9 km,8.7 km,5.6 km,4.0 km,42.3229149,-71.099018
"225 Centre | 225 Centre St, Roxbury, MA",2,3400,1.9 km,8.7 km,5.6 km,4.0 km,42.3229149,-71.099018
"225 Centre | 225 Centre St, Roxbury, MA",3,4800,1.9 km,8.7 km,5.6 km,4.0 km,42.3229149,-71.099018
"28 Fleet St | 28 Fleet St, Boston, MA",2,3500,7.3 km,10.0 km,5.6 km,5.8 km,42.364346,-71.0522249
"28 Fleet St | 28 Fleet St, Boston, MA",3,4700,7.3 km,10.0 km,5.6 km,5.8 km,42.364346,-71.0522249
"28 Fleet St | 28 Fleet St, Boston, MA",4,6400,7.3 km,10.0 km,5.6 km,5.8 km,42.364346,-71.0522249
"Bower | 771 Beacon St, Boston, MA",Studio,3552,1.7 km,2.9 km,3.3 km,0.8 km,42.347404,-71.1010124
"Bower | 771 Beacon St, Boston, MA",1,3402,1.7 km,2.9 km,3.3 km,0.8 km,42.347404,-71.1010124
"Bower | 771 Beacon St, Boston, MA",2,6237,1.7 km,2.9 km,3.3 km,0.8 km,42.347404,-71.1010124
"Boylston St, 40 | 40 Boylston St, Boston, MA",1,3000,4.5 km,8.7 km,6.1 km,6.9 km,42.3521637,-71.06380089999999
"Boylston St, 40 | 40 Boylston St, Boston, MA",2,4000,4.5 km,8.7 km,6.1 km,6.9 km,42.3521637,-71.06380089999999
"Lantera at Boston Landing | 125 Guest St, Boston, MA",Studio,2474,8.7 km,2.5 km,5.7 km,2.4 km,42.3564009,-71.1427164
"Lantera at Boston Landing | 125 Guest St, Boston, MA",1,3126,8.7 km,2.5 km,5.7 km,2.4 km,42.3564009,-71.1427164
"Lantera at Boston Landing | 125 Guest St, Boston, MA",2,4143,8.7 km,2.5 km,5.7 km,2.4 km,42.3564009,-71.1427164
"Lantera at Boston Landing | 125 Guest St, Boston, MA",3,5926,8.7 km,2.5 km,5.7 km,2.4 km,42.3564009,-71.1427164
"One Canal Apartments | 1 Canal St, Boston, MA",Studio,2977,5.3 km,9.0 km,3.5 km,4.7 km,42.363792,-71.05897999999999
"One Canal Apartments | 1 Canal St, Boston, MA",1,3418,5.3 km,9.0 km,3.5 km,4.7 km,42.363792,-71.05897999999999
"One Canal Apartments | 1 Canal St, Boston, MA",2,4797,5.3 km,9.0 km,3.5 km,4.7 km,42.363792,-71.05897999999999
"Coppersmith Village, 99 Border St #310, Boston, MA 02128",2,3150,7.9 km,11.6 km,6.5 km,7.4 km,42.372432,-71.0412527
"James and Harrison Court | 45 E Newton St, Boston, MA",Studio,3335,1.6 km,10.2 km,4.1 km,3.0 km,42.3373043,-71.0731297
"James and Harrison Court | 45 E Newton St, Boston, MA",1,3255,1.6 km,10.2 km,4.1 km,3.0 km,42.3373043,-71.0731297
"James and Harrison Court | 45 E Newton St, Boston, MA",2,3920,1.6 km,10.2 km,4.1 km,3.0 km,42.3373043,-71.0731297
"The Harlo | 1350 Boylston St, Boston, MA",Studio,3250,1.2 km,6.1 km,2.9 km,1.2 km,42.343956,-71.0996213
"The Harlo | 1350 Boylston St, Boston, MA",1,4165,1.2 km,6.1 km,2.9 km,1.2 km,42.343956,-71.0996213
"The Harlo | 1350 Boylston St, Boston, MA",2,5925,1.2 km,6.1 km,2.9 km,1.2 km,42.343956,-71.0996213
"Hamilton Union | 435 Cambridge St, Allston, MA",1,2100,5.4 km,1.7 km,4.6 km,1.6 km,42.3549789,-71.13465839999999
"Hamilton Union | 435 Cambridge St, Allston, MA",2,2600,5.4 km,1.7 km,4.6 km,1.6 km,42.3549789,-71.13465839999999
"Hamilton Union | 435 Cambridge St, Allston, MA",3,3150,5.4 km,1.7 km,4.6 km,1.6 km,42.3549789,-71.13465839999999
"Hamilton Union | 435 Cambridge St, Allston, MA",4,3750,5.4 km,1.7 km,4.6 km,1.6 km,42.3549789,-71.13465839999999
"Atlas Residences, 223 Harvard Ave APT 8, Allston, MA 02134",2,3400,4.0 km,2.3 km,4.5 km,1.2 km,42.3492584,-71.1305236
"Courtyard at North Beacon | 140 N Beacon St, Brighton, MA",2,3200,8.8 km,2.5 km,5.7 km,2.4 km,42.354837,-71.14606359999999
"3-15 Lorraine Terrace | 3 Lorraine Ter, Allston, MA",2,2895,4.5 km,2.8 km,5.3 km,2.0 km,42.3479094,-71.1391661
"3-15 Lorraine Terrace | 3 Lorraine Ter, Allston, MA",3,3495,4.5 km,2.8 km,5.3 km,2.0 km,42.3479094,-71.1391661
"Mezzo Design Lofts | 30 Caldwell St, Charlestown, MA",Studio,2268,8.4 km,4.2 km,5.0 km,7.9 km,42.3845804,-71.077551
"Mezzo Design Lofts | 30 Caldwell St, Charlestown, MA",1,2917,8.4 km,4.2 km,5.0 km,7.9 km,42.3845804,-71.077551
"Mezzo Design Lofts | 30 Caldwell St, Charlestown, MA",2,4262,8.4 km,4.2 km,5.0 km,7.9 km,42.3845804,-71.077551
"AVA Back Bay | 790 Boylston St, Boston, MA",Studio,3225,2.1 km,6.2 km,2.5 km,1.5 km,42.3479389,-71.0816542
"AVA Back Bay | 790 Boylston St, Boston, MA",1,3990,2.1 km,6.2 km,2.5 km,1.5 km,42.3479389,-71.0816542
